All Apps
========

ai.perplexity.app.android | User | Enabled
android | System | Enabled
android.auto_generated_characteristics_rro | System | Enabled
android.auto_generated_rro_product__ | System | Enabled
android.auto_generated_rro_vendor__ | System | Enabled
android.autoinstalls.config.motorola.layout | System | Enabled
com.Dominos | User | Enabled
com.amazon.appmanager | System | Disabled
com.android.DeviceAsWebcam | System | Enabled
com.android.avatarpicker | System | Enabled
com.android.backupconfirm | System | Enabled
com.android.bips | System | Enabled
com.android.bluetooth | System | Enabled
com.android.bluetoothmidiservice | System | Enabled
com.android.bookmarkprovider | System | Enabled
com.android.calllogbackup | System | Enabled
com.android.cameraextensions | System | Enabled
com.android.carrierdefaultapp | System | Enabled
com.android.cellbroadcast.overlay | System | Enabled
com.android.cellbroadcastreceiver | System | Enabled
com.android.cellbroadcastservice.overlay | System | Enabled
com.android.certinstaller | System | Enabled
com.android.chrome | System | Enabled
com.android.companiondevicemanager | System | Enabled
com.android.companiondevicemanager.auto_generated_characteristics_rro | System | Enabled
com.android.credentialmanager | System | Enabled
com.android.cts.ctsshim | System | Enabled
com.android.cts.priv.ctsshim | System | Enabled
com.android.devicediagnostics | System | Enabled
com.android.devicelockcontroller | System | Enabled
com.android.dialer.overlay.imei | System | Disabled
com.android.dreams.basic | System | Enabled
com.android.dynsystem | System | Enabled
com.android.egg | System | Enabled
com.android.emergency | System | Enabled
com.android.externalstorage | System | Enabled
com.android.hotwordenrollment.okgoogle | System | Enabled
com.android.hotwordenrollment.xgoogle | System | Enabled
com.android.htmlviewer | System | Enabled
com.android.imsserviceentitlement | System | Enabled
com.android.inputdevices | System | Enabled
com.android.intentresolver | System | Enabled
com.android.internal.display.cutout.emulation.corner | System | Enabled
com.android.internal.display.cutout.emulation.double | System | Enabled
com.android.internal.display.cutout.emulation.hole | System | Enabled
com.android.internal.display.cutout.emulation.noCutout | System | Enabled
com.android.internal.display.cutout.emulation.tall | System | Enabled
com.android.internal.display.cutout.emulation.waterfall | System | Enabled
com.android.internal.systemui.navbar.gestural | System | Enabled
com.android.internal.systemui.navbar.hidegestural | System | Enabled
com.android.internal.systemui.navbar.threebutton | System | Enabled
com.android.internal.systemui.navbar.transparent | System | Enabled
com.android.keychain | System | Enabled
com.android.localtransport | System | Enabled
com.android.location.fused | System | Enabled
com.android.managedprovisioning | System | Enabled
com.android.mms.service | System | Enabled
com.android.mtp | System | Enabled
com.android.networkstack.inprocess.overlay | System | Enabled
com.android.networkstack.overlay | System | Enabled
com.android.networkstack.tethering.inprocess.overlay | System | Enabled
com.android.networkstack.tethering.overlay | System | Enabled
com.android.nfc | System | Enabled
com.android.nfc.overlay | System | Enabled
com.android.ons | System | Enabled
com.android.pacprocessor | System | Enabled
com.android.phone | System | Enabled
com.android.phone.auto_generated_characteristics_rro | System | Enabled
com.android.phone.overlay.carriersettings | System | Enabled
com.android.phone.overlay.common | System | Enabled
com.android.phone.overlay.motcommon | System | Enabled
com.android.phone.overlay.noHAC | System | Enabled
com.android.printspooler | System | Enabled
com.android.providers.blockednumber | System | Enabled
com.android.providers.calendar | System | Enabled
com.android.providers.contactkeys | System | Enabled
com.android.providers.contacts | System | Enabled
com.android.providers.downloads | System | Enabled
com.android.providers.downloads.ui | System | Enabled
com.android.providers.media | System | Enabled
com.android.providers.partnerbookmarks | System | Enabled
com.android.providers.settings | System | Enabled
com.android.providers.settings.auto_generated_rro_product__ | System | Enabled
com.android.providers.telephony | System | Enabled
com.android.providers.telephony.auto_generated_characteristics_rro | System | Enabled
com.android.providers.telephony.overlay.carriersettings | System | Enabled
com.android.providers.userdictionary | System | Enabled
com.android.proxyhandler | System | Enabled
com.android.role.notes.enabled | System | Enabled
com.android.se | System | Enabled
com.android.server.telecom | System | Enabled
com.android.settings | System | Enabled
com.android.settings.intelligence | System | Enabled
com.android.sharedstoragebackup | System | Enabled
com.android.shell | System | Enabled
com.android.simappdialog | System | Enabled
com.android.soundpicker | System | Enabled
com.android.stk | System | Enabled
com.android.storagemanager | System | Enabled
com.android.systemui | System | Enabled
com.android.systemui.accessibility.accessibilitymenu | System | Enabled
com.android.systemui.accessibility.accessibilitymenu.auto_generated_rro_product__ | System | Enabled
com.android.systemui.auto_generated_rro_product__ | System | Enabled
com.android.systemui.auto_generated_rro_vendor__ | System | Enabled
com.android.systemui.plugin.globalactions.wallet | System | Enabled
com.android.theme.font.Exo2Regular | System | Enabled
com.android.theme.font.RobotoSlabRegular | System | Enabled
com.android.theme.font.RookeryRegular | System | Enabled
com.android.theme.font.SpaceGrotesk | System | Enabled
com.android.theme.font.WorkSans | System | Enabled
com.android.theme.icon.pebble | System | Enabled
com.android.theme.icon.round | System | Enabled
com.android.theme.icon.roundedrect | System | Enabled
com.android.theme.icon.teardrop | System | Enabled
com.android.traceur | System | Enabled
com.android.vending | System | Enabled
com.android.virtualmachine.res | System | Enabled
com.android.vpndialogs | System | Enabled
com.android.wallpaper.livepicker | System | Enabled
com.android.wallpaperbackup | System | Enabled
com.android.wallpapercropper | System | Enabled
com.android.wifi.mainline.resources.overlay | System | Enabled
com.android.wifi.resources.overlay | System | Enabled
com.android.wifi.resources.overlay.WifiVodafoneOverlay | System | Enabled
com.android.wifi.resources.overlay.motCommon | System | Enabled
com.application.zomato | User | Enabled
com.aura.oobe.motorola | System | Disabled
com.aura.oobe.vodafone | System | Disabled
com.autodesk.autocadws | User | Enabled
com.bigwinepot.nwdn.international | User | Enabled
com.bluetooth.aptxmode | System | Enabled
com.comuto | User | Enabled
com.cuvora.carinfo | User | Enabled
com.digilocker.android | User | Enabled
